Nota,Título,Comentário
5,Terapia,Meu o jogo e da hora eu aconselho as pessoas jogarem por e ótimo passa tempo da hora meu e animal
5,Bom,Muito bom
5,Ahhhhh,Melhor jogo
5,Vicio,Amo
5,Kaka,💕💕💕
1,Travou de vez,Agora não abre nem o jogo mais travou tudo que coisa arrumem isso aí já tá assim a um tempão aff 😤 😤 😤
1,Cobranças?,"Estou tentando atualizar 
Este app e está me solicitando cobrança 
O que houve?"
5,Adoro,Passatempo favorito
4,Viciante,É muito bom!
5,amo dilmais,melhor jogo do mundo
5,Demora nas fases,"Jogo ótimo, mas as fases são chatas, não apresentam desafios. É uma repetição sem fim...
Poderia ser mais dinâmico..."
5,Prefeito!,To sempre jogando!
5,Muito booom,Ótimo
5,Adoooro o jogo,Essa versão atualizada tá muito mais legal q a primeira. 😍
5,Cand,Adoro o jogo
1,Não conectem ao Facebook!,Conectei ao Facebook e perdi todo o meu progresso!!! Estava na fase 370 e ele voltou pra fase 30!!!
5,Muito viciante,Jogo ótimo para passar o tempo e competir com os amigos!!!
3,Amo o jogo,"Amo o jogo, porém ultimamente tem roubados algumas fases minha, passo a fase e ela volta na mesma como se não tivesse passado. Isso precisa melhorar !"
3,Bom,"Não está conectando a internet, precisa de atualização."
5,Top,Top
5,Bom,🤙🏼👍🏼
5,Bom,Muito bom
1,Péssimo,Horrível
5,Meu companheiro,"Melhor passatempo nas aulas, metrô ou até em casa"
1,Quero meu dinheiro de volta,Quero meu dinheiro de volta
5,Amo❤️,Demais
5,Bom,Gostei
5,Show,Topppppppppppppppppppppppp
5,Candy crush,Ótimo jogo!!
5,Adoro,"Muito bom, as atualizações sempre são para dar mais opções, gosto muito."
5,Show,Muito bom
5,αмєιʝ,мυιтσ ℓєgαℓ
5,❤️,Sensacional
5,Está travando,Toda vez que eu abro o Candy Crush ele trava por uns 15 segundos
1,Fases repetidas,"Estou na fase 3576 e mesmo atualizando o app no celular, as fases estão estão repetidas com outras que já joguei antes."
5,👏🏻🤟🏻,👍muito bom
5,Muito legal.,Muito legal.
5,Otimo,Viciante demais
5,Amo,Amo
5,Ótimo,Ótimo
5,Jogo,Muito bom
5,Ótimo,Ótimo
4,Amo,As vezes fico por um mas amooo é viciante
5,Candy Crush,Ótimo jogo!
5,Bom,Ótimo jogo
5,Amo esse jogo,Melhor do mundo
5,Bom,Bom
3,Bom,"O jogo é bom mas chega uma hora que fica muito dificil, não tem mais o que fazer. Deletei."
1,Porque a fase 4386 trava ?,"Único problema que tive no jogo, não tem como jogar essa fase, ela finaliza antes mesmo de começar !"
5,Amoooo,"Amooooo,ótimo entretenimento"
5,Não tem igual,Cada dia um desafio viciante
5,Tutu,Tutu
5,Top demais !,As horas passam e eu me só vicio hahaha ♥️
4,Muito bom,Gosto muito
1,Rouba de mais,Colocam fases fácil falando que é difícil e fases difíceis falando que são fáceis... vai entender
5,🥰,Excelente! 🤩
5,Jogo,Jogo top meu vicio
5,Bom,Ótimo
2,Foi muito bom,Sempre jogo desde o lançamento não tenho o que reclamar... até que colocaram propaganda a cada clique e isso sim se tornou uma coisa chata... ter propagandas ok mais não tantas
5,Maravilha,Show
1,Legal,Muito bom
5,Top,Amo esse jogo
1,Raiva,Travou e não volta mais! Simplesmente fica carregando por horas e não abre!
5,OhSnh,Minha melhor diversão
5,Amo,Super
5,Melhor jogo!,"Para passar o tempo, tirar o stress, ou onde quiser! Melhor jogo! Eu adoro."
5,Muito bom,Viciante
3,Da muita dica,A única coisa que não gosto é do jogo ficar mostrando dica toda hora. Da nem tempo de pensar na jogada.
4,Muito bom,É um dos melhores aplicativos para passar o tempo
5,Viciado,Jogo extremamente viciante. Até sonhei com ele. Kkkk
5,Amo 😍,Melhor jogo ❤️❤️❤️!
5,Melhor jogo,Melhor jogo
5,Muito bom,Melhor passatempo 😍😍😍
5,...,É bom!
3,"Jogo divertido, masss","O jogo é ótimo, mas as vezes colocam fases quase impossíveis de passar sem ter os boosters... o que, para quem não quer comprar, desmotiva a continuar a jogar."
4,Legal,Legal
5,Maravilhoso,Jogo viciante
5,Recomendo!,Jogo ótimo 😍
5,Lixo só que nao,Mlr app só q nao então é os guri de Uruguaiana
5,Ameiiii,Melhor jogo amando
5,Muito viciante!,"Se não quiser se viciar, nem baixe esse app! A integração com redes sociais favorece muito a busca por níveis mais altos! 🍬🍭🍡🍢"
5,Muito bommm,Amoo
5,i like it,very funny
5,Joguinho,Bom demais 👏🏻👏🏻
5,Top,Top
4,Amo esse jogo,😍
5,Melhor jogo,Amooo
5,Melhor de todos!,"Nada se compara
Ao CANDY CRUSH! Sempre o melhor!"
2,Problema,"E da 3 dias que não consigo abrir o App, abre a segunda tela e para!"
5,💓,😍😍
5,Mágico,Amo mas odeio as bombas kkkk tirando isso tudo perfeito
5,Muito Viciante,"Amei o jogo, Top d+, It's top, 10/10"
5,O Melhor!!,Adoravel
5,Top,Jogo muito legal
3,Erro na execução de vídeos,Há duas semanas os vídeos não rodam. Fica numa tela preta só com um X para fechá-la impedindo a coleta de bosters ou giro da roleta de prêmios.
5,Muito bom,Vale a pena jogar e passar o tempo
5,Legal!!!!,Bom pra passar o tempo.
1,stupid and annoying terrible colours,stupid and annoying terrible colours
5,Maravilhoso,Super interte
5,Bom,Viciante
5,Viciante,Amo demais
5,Top,Viciante
5,Mt bom,Melhor jogo
5,Passatempo,Ótimo passatempo
5,Awesome!,"Você vai amar, pode baixar!"
5,Ok,Ok
5,Ok,Ok
5,Vicio,App viciante
5,Candy crush,"Muito bom, muito tranquilizante , excelente jogo"
5,🤭,Bom igual bombom
5,Meu melhor passa tempo🥰🥰,Amoooo
5,❤️,Viciante!!!!
5,Bão pra caráleo!,Bão dimais da conta sô!
5,Muito legal.,Relaxante e viciante. Cuidado. Rsssss
5,Candy Crush Saga,"Melhor jogo 
Toooooop 🤩"
5,Viciante,muito legal
5,Distrativo!,Muito bom!!
5,Jogos,Amo o jogo recomendo
5,Bacana!,"O jogo está sem som de efeitos, funcionando somente a música.... Mesmo os dois estando habilitados.
Aí fica meio monótono!"
5,melhor jogo,muito viciante
5,Viciante,Muito bom
5,Joguinho,Bonzão
5,Fofoco,Dddjdj
5,Melhor jogo,"Amo, me distrai super viciante!"
5,Ótimo,Recomendo!
5,Muito bom,Muito bom
5,Amo,Amo muito!
5,O melhor,Sem dúvidas o melhor.
5,Amei,Adoro
5,Amo demaiss,Melhor jogo pqp
5,Top,Mt bom
5,Muito bom,Melhor jogo
5,Excelente,Muito bom e viciante.
5,melhor jogo,sensacional !
5,Amo,Melhor de todos
5,Nota 10,Sou viciada
5,Muito bom,Legal
5,Top,Top
5,Viciante,Amoooo!
5,Viciante,Melhor jogo
5,Topen,Amo
5,jogo,"amo
o jogo"
1,Enganação,"O Jogo é uma enganação. Você ganha prêmios e o App não credita. Toda vez que quer pedir vida, tem que desconectar e conectar novamente para que os amigos apareçam na opção de solicitação de vida. Já cansei de reclamar e não adianta. O App só quer saber de comprar. Quando o cliente ganha ele dá pane!"
5,Amo,"Relaxante ! 
Amo ..."
5,Fantástico,Muito bom para passar tempo!
5,Simone,Muuuuuito bom!
5,Bom demais,Viciante
5,Legal,Legal
5,Legal 👍,👍👍👍
5,joguinho,ótimo game !!!!!!
5,Jogo sensacional!!,Melhor distração!
5,Muito bom,O melhor Candy Crush
5,Super indico,Adoro!
5,Toppp,Melhor jogo da vida 😍
5,👍,👍👍👍
5,VICIANTE!!!,Ótimo passatempo! Muito divertido e viciante! :)
5,Muito bom,Divertido e desafiador
5,Muito bom,Top
5,O MELHOR!,Nunca vai sair de moda!
5,Passa tempo,Passa tempo de primeira qualidade.
5,a,tudo p mim
5,Top,Muito bom
5,Viciante,Muito viciante
5,Candy,"Adoro , muito viciante"
1,Me roubaram,Joguei a semana inteira fiquei em primeiro na corrida semanal e não recebi meus prêmios.
5,Ótimo,10
5,Top,Top demais
5,❤️,O melhor
5,Top,Top
5,Muito bom,Bom demais
4,Candy,Amo!
3,Legal 👍🏻,Legal
4,Legal,"Legal, mas as vezes meus boosters estouram sem eu liberar 😕"
5,The best,Muito bom!
4,Muito bom!,"Tem uns níveis que vc passa nervoso, mais quando consegue passar, a sensação é muito boa!!"
5,Lindo,Amo jogar
2,Precisa arrumar isto!,O vídeo para validar prêmio não abre... assim fico sem receberem o prêmio.
5,Larymanica,Muito bom.
5,Ótimo!,Muito top!
5,Muito bom,Muito bom
5,Bom pra relaxar e passar o tempo,Muito bom
5,Viciante,❤️
5,Melhor jogo,Melhor jogo
5,vicio,amo!
1,Não recebi mais a chance de ver propagandas para ganhar boosters,O jogo oferecia boosters e vidas extras se você assistisse propagandas e simplesmente parou de oferecer essa opção. Estou decepcionado com o jogo.
5,Viciante!,Muito bom pra jogar no tempo livre.
5,Amo!,Pra passar o tempo e te tirar do tédio...
5,Candy,Sensacional!!!
5,Bão,Bão
5,Jogo,Melhor passa tempo!!
1,O jogo não abre,Já faz alguns meses que esse jogo não abre no meu celular (iPhone 5s). Queria saber o por que disso
4,"Gosto, mas tem algumas limitações",Poderia ter menos empata de vídeos propaganda
5,amo,mega viciada!
5,Melhor jogo,Me divirto muito
5,Bom,Muito bom
4,Bom todo,Pra distrair é o melhor remédio
5,Recomendo,Amo e é divertido. Recomendo.
3,Barras de Ouro que não são creditadas,Adoro o jogo mas comprei alguns pacotes e as BARRAS DE OURO NUNCA são creditadas.
5,Top,Top
5,Avaliação,Muitoooo boom! 🙅🏻‍♂️
1,Vergonha,"Quando se escolhe prêmios, eles não aparecem, jogadas que não são concretizadas! Bugs em telas, que se fica mais de 2 semanas pra conseguir passar de fase. Roleta que não da premio máximo!
Jogo fdp, NÃO RECOMENDO."
5,iPhone 8 Plus,Muito bom amooo
5,Melhor jogo,Top
5,Filipi,Great!
5,Não gostei,"Começou ter muita propaganda ,por isso,vou desistir acaba ficando chato esse jogo com muita propaganda desnecessário"
5,Viciante!,Muito bom
5,Passatempo ideal,Divertido e viciante
5,Adoro!,O melhor que já joguei neste estilo!
5,Que jogo envolvente!,Joga-se sem parar. Muito bom.
5,Maravilhoso,meu vício diário!!! muito bom ❤️
5,Adoro,Amei a nova atualização!!!
5,Muito bommmm,Adoro esse joguinho
5,Topzeraa,Melhor jogo!
5,😍,Amo este jogo
1,Rouba demais,Aparece que não tem mais movimentos quando nitidamente ainda tem.
5,Melhor jogo,Amo
5,Top,Jogo maravilhoso amo jogar ele
5,Ótimo pra passar raiva quando a vida acaba mas eu adoro,🤠🤠🤠
5,Ótimo,Muito bom e divertido
5,Bom,Mt bom
5,B,Bomm
5,Melhor jogo! Viciante,"Amo de mais, melhor jogo! O único do meu celular 👏🏻😍. 
Vicio todo mundo ao meu redor"
5,Super satisfeita !,Estou amando o jogo
5,Legal,👏 legal
5,Muito bom,Muito bom
5,Maravilhoso,Amo esse jogo só nn gosto de perder kkkkk
5,Mara,Amo
5,Muito bom!,Sou loucamente viciada nesse jogo.
5,Top,"Melhor jogo da vida, jogo a anos"
4,Vidas,Queria que tivesse mais vidas
5,Muito bom,Amo demais
5,❤️,Muito bom
5,Jogo 🔝,Muito bom o jogo!! Recomendadissimoooo! Show!👏🏾👏🏾👏🏾👏🏾
5,✅,Adeus vida social
5,Jogo demais,Top demais
4,C,Legal
5,Melhor,Muito bom
5,tata,otimo viciante adoroooo
5,Jogo,Ótimo jogo top
5,Candy,Fã demaisssssss
5,Viciante!,Realmente viciante.
5,Top,Top
5,Eu recomendo é ótimo e também e divertido e me ajuda a desestressar,Ótimo 👍🏻
5,AMO,Muito
5,Muito bom,Adoro
5,Melhor jogo,Adoro jogar todos os dias
5,Ótima distração,O melhor joguinho que tenho no celular.
5,Muito bom,Excelente para passar o tempo
5,Amo,Amo demais
5,ótimo,"jogo muito bom, empolgante"
5,Top,Passa tempo perfeito
