Nota,Título,Comentário
3,Celular,Achei um absurdo a primeira foto da nova versão do aplicativo mostrar um cara dirigindo numa estrada e manuseando um celular. Desenvolvedor do app totalmente sem noção👎🏻
1,Não funciona,Ruim
1,Problemas com login,"Não consigo logar, não consigo alterar a senha e por fim não consigo alugar o carro! 
Da erro toda hora, chega a ser irritante!"
5,Ótimo serviço,"O App tem melhorado muito e não troco pela concorrência, pois aqui sempre fica mais barato."
1,Cadastro impossível,App não captura selfie. Se ao menos permitisse escolher uma imagem da galeria...
1,Aplicativo inútil,"Aplicativo inútil, enganoso por informar desconto para pagamento por ele, mas é impossível fazer a operação, não dá para cadastrar a CNH e cartão de crédito. Resumo, precisam melhorar muito para ser tratado como um aplicativo. A pergunta que não me quer calar é como liberam um pseudo aplicativo tão ruim com a identidade Movida. Zero! Quando melhorarem voltarei para reavaliar."
1,Não funciona,"Tentei muito recuperar e alterar a senha, nada funciona. Nem pelo site nem pelo app"
1,Inútil,Impossível acessar o app e quando acessa sem login é impossível inserir a hora de retirada.
1,"Horrível, nem abre essa bagaça","Quase vomitei, nem pra fazer o app funcionar direito. É mínimo né não"
1,Selfie,"Impossível fazer uma selfie, tirei mais de 50 fotos e o app não aceita!!!!!! 
App péssimo!!!!"
1,Lixo,"A App é um lixo, não deixa marcar horário para pegar o veículo e não sai da tela dando uma mensagem idiota dizendo que tem que retirar uma hora antes sendo que coloquei para 3 dias posteriores."
1,Fraco,Aplicativo péssimo!!!!
1,Não aceita mais nenhum horário,O aplicativo parou de funcionar corretamente. Qualquer horário que colocamos aparece uma mensagem de erro falando que precisa de uma hora de antecedência. Por favor corrijam!
1,IMPOSSÍVEL DE UTILIZAR,"Baixei o app é simplesmente não consigo utilizar. É inoperante, obsoleto, não funciona. Tentei inúmeras vezes fazer a reserva e não dá certo. Mudei as lojas de retirada do veículo para ver se o problema persistiria, e persistiu. Sempre aparece que a reserva deve ser feita com no mínimo uma hora de antecedência, e então qualquer horário que informo o app não reconhece. Uma pena."
1,Horrível,"2 semanas tentando me cadastrar, fica dando erro no reconhecimento da selfie e não cadastra"
1,Menos que lixo,"Aplicativo que não funciona... parte de recuperação de senha não funciona, parte de verificação de reserva não funciona, parte de reserva funciona muito mal e ainda assim poderia ser mil vezes melhor. Até parece que contrataram uma equipe de amadores juniors e falaram “façam mer...” não recomendo... não dou o estrelas pq a avaliação da Apple não permite... não baixe essa coisa..."
1,App da movida não funciona,Impossível realizar o cadastro. Vou alugar por outra empresa.
1,Avaria paga  .... sem culpa .,"Impossível resolver questões por telefone ...ninguém  informa sobre questões jurídicas,e-mail não é respondido.. enfim problemas não resolvidos ...  se resolver volto pra dar mais estrelas ."
1,Impossível cadastrar Selfie,"App não cadastra selfie, dá erro toda hora"
1,Erro em cima de erro...,"O app roda no Vetor tbem?? So assim pra explicar a quantidade de erro. Ultima atualização em 26/11/18 não deixa mais fazer a reserva, da erro ja ao informar data e hora, diz que precisa ser ao menos com 1 hora de antecedência mas eu quero reservar para daqui 10 dias !!!!"
1,Bug,Foi mexer no que tava funcionando... agora não da pra fazer a reserva. Aparece um erro no horário.
1,Erro ao logar,É raro conseguir logar no app. A grande maioria das vezes dá erro e tenho que recorrer ao PC pra alugar na Movida. Lamentável.
1,Pior atendimento ao alugar um carro,"Se você quer ser mal atendido comece baixando este app. Em seguida vá retirar seu veículo como fiz na loja do Extra Anchieta. Me entregaram um veículo sujo e mesmo apresentando problemas não efetuam a troca, quando apareço na loja sempre sou mal tratado!"
1,Péssimo,"Aplicativo não funciona de jeito nenhum.
Precisava resolver com urgência e loquei com a concorrente, mas queria ter locado com a Movida. :/"
1,Propaganda enganosa,"Voei de SP para Recife, havia propaganda da movida durante voo com tarifas promocionais a partir de 75,00. Cheguei no aeroporto ninguém da movida sabia informar, liguei na central, ninguém sabia informar, além disso os valores não batiam e os atendentes completamente despreparados, fui no ponto de venda do hotel Ramada não sabiam informar nada , nem mesmo oque o seguro cobria!!! Afff
Tentei comprar no App, não consegui, gerava-se erro na hora do pagamento, fui cobrado por uma taxa administrativa de cerca de 13,00.... NUNCA MAIS!!!! Péssimo serviço de vcs!"
1,Lixo,Nada funciona direito nesse lixo!
1,Não captura a imagem da CNH,"Já tentei dezenas de vezes e nada
Infelizmente vou ficar só coma localiza Hertz ."
1,Fraco,"Nem adianta. 
Tentar fazer qualquer coisa nessa porcaria é difícil!"
2,Impossível,"-Nome das cidades da retirada não estão em ordem alfabética;
-Ao escolher a cidade, não há botão pra confirmação e nem salta para o campo da hora de retirada não nos permitindo prosseguir, mesmo clicando no campo da hora;
-Uma porcaria essa versão.
Observação: iOS 12.1
Luiz Valério 04/11/2018"
1,App abandonado,"Só dor de cabeça esse app, o calendário tá maluco hoje e Domingo 04/11/2018 mas mostra que hoje é segunda 04/11/2018"
2,Bugado,Não consegui nem ver os preços
1,Horrível,"Na hora de finalizar com o desconto o app trava. Daí você perde tempo pois no final das contas não dá pra você aproveitar o desconto de pagar antecipadamente. 
A cnh nunca da certo cadastrar pois o app sempre trava no momento de carregar a foto."
1,Muitos bugs!,"Cara, muito bugado! Não consegui cadastrar a selfie e nem o cartão de crédito. Minha reserva tinha desconto de R$44,70 se pagasse no APP, mas o cadastro do cartão dizia que o campo IP estava inválido. A selfie dizia já existir, mas não liberava botão para eu prosseguir."
