Nota,Título,Comentário
5,Show,Topppppppppppppppppppppppp
5,Candy crush,Ótimo jogo!!
5,Adoro,"Muito bom, as atualizações sempre são para dar mais opções, gosto muito."
5,Show,Muito bom
5,αмєιʝ,мυιтσ ℓєgαℓ
5,❤️,Sensacional
5,Está travando,Toda vez que eu abro o Candy Crush ele trava por uns 15 segundos
1,Fases repetidas,"Estou na fase 3576 e mesmo atualizando o app no celular, as fases estão estão repetidas com outras que já joguei antes."
5,👏🏻🤟🏻,👍muito bom
5,Muito legal.,Muito legal.
5,Otimo,Viciante demais
5,Amo,Amo
5,Ótimo,Ótimo
5,Jogo massa,Desafiador e interessante!
4,Muito bom!,Adoro!!!!!
5,.,Volta com o modo Odus por favor
5,Candy Crush,Muito bom e viciante !!!
5,Amoooooo,"esse é o melhor jogo de todos 
#Amo_de_paixao"
5,Legal,Ótimo
5,Muito bom!,"Acabei viciada nesse jogo
Muito bom mesmo, vale a pena baixar ele!
Adorooooo"
5,Perfeito!,Perfeito pra horas de relax!
5,muito bom este jogo,amei o jogo
5,Top,Amo jogar
5,Top,Top
5,Muito bom,Demais
5,Viciante,🥰🥰
5,Adoro!,"Muito bom, não trava"
5,Fran0309,Muito boooom
5,Ótimo,Ótimo
5,Muito bom,Ótimo
1,Péssimo,Péssimo
5,Muito bom!,Jogo divertido!
5,Melhor jogo,Sempre divertido
5,Um dos melhores,"Um dos melhores jogos que joguei, um verdadeiro passa tempo"
5,Top!,Massa demais ! Bom passatempo...
5,Top demais,Muito bom
4,viciante,viciante
4,Amooooo😍,Muitoooo bom...❤️
5,Top,Amo demais ❤️
5,Love,Amoooooooooo de mais #vicio😂
5,Legal,Muito bom
3,já foi melhor,"a tela do jogo trava e quando volta estou fora da partida e sem a vida, fora que acho sacanagem a gente perder a partida pq não tem mais movimentos possíveis, podiam dar outra opção!"
5,Jogo ótimo,Muito bom
5,mec,mutcho bom
5,Top,Muito bom
5,Jogo muito bom,Jogo muito bom
5,Ótimo,Ótimo
5,Muito bom!!,Maneiro demais
5,Amo,Adoro esse jogo e o app é ótimo.
5,Legal,Legal
5,Top,Top
3,Candy,Top
5,Heloiza,Esse jogo é muito bom é sério eu adoro 😍
5,Sensacional,Melhor jogo
5,Amo muito,"Muito divertido, adoro jogar Candy 😍"
5,Ótimo,Ótimo
5,viciante demais kk,to gastando demais com esse jogo
4,Ótimo,👏🏼👏🏼
5,Melhor jogo,Muito bom!
5,❤️,Muito bom
3,Vidas,"Demora muito pra carregar as vidas,fora isso é bom o jogo,qdo diminuir Ontário de carregar as vidas dou 5 estrelas"
5,O melhor jogo,The best!!!!!
5,Muito bom,Ótimo!
5,Viciante!,Realmente viciante.
5,Top,Top
5,Eu recomendo é ótimo e também e divertido e me ajuda a desestressar,Ótimo 👍🏻
5,Top,Jogo muito legal
3,Erro na execução de vídeos,Há duas semanas os vídeos não rodam. Fica numa tela preta só com um X para fechá-la impedindo a coleta de bosters ou giro da roleta de prêmios.
5,Muito bom,Vale a pena jogar e passar o tempo
5,Legal!!!!,Bom pra passar o tempo.
1,stupid and annoying terrible colours,stupid and annoying terrible colours
5,Maravilhoso,Super interte
5,Bom,Viciante
5,Viciante,Amo demais
5,Top,Viciante
5,Mt bom,Melhor jogo
5,Passatempo,Ótimo passatempo
5,Awesome!,"Você vai amar, pode baixar!"
5,Ok,Ok
5,Ok,Ok
5,Vicio,App viciante
5,Candy crush,"Muito bom, muito tranquilizante , excelente jogo"
5,🤭,Bom igual bombom
5,Meu melhor passa tempo🥰🥰,Amoooo
5,❤️,Viciante!!!!
5,Bão pra caráleo!,Bão dimais da conta sô!
5,Muito legal.,Relaxante e viciante. Cuidado. Rsssss
5,Candy Crush Saga,"Melhor jogo 
Toooooop 🤩"
5,Viciante,muito legal
5,Distrativo!,Muito bom!!
5,Jogos,Amo o jogo recomendo
5,Bacana!,"O jogo está sem som de efeitos, funcionando somente a música.... Mesmo os dois estando habilitados.
Aí fica meio monótono!"
5,melhor jogo,muito viciante
5,Viciante,Muito bom
5,Joguinho,Bonzão
5,Fofoco,Dddjdj
5,Melhor jogo,"Amo, me distrai super viciante!"
5,Ótimo,Recomendo!
5,Muito bom,Muito bom
5,Amo,Amo muito!
5,O melhor,Sem dúvidas o melhor.
5,Amei,Adoro
5,Amo demaiss,Melhor jogo pqp
5,Top,Mt bom
5,Muito bom,Melhor jogo
5,Excelente,Muito bom e viciante.
5,melhor jogo,sensacional !
5,Amo,Melhor de todos
5,Nota 10,Sou viciada
5,Muito bom,Legal
5,Top,Top
5,Viciante,Amoooo!
5,Viciante,Melhor jogo
5,Topen,Amo
5,jogo,"amo
o jogo"
1,Enganação,"O Jogo é uma enganação. Você ganha prêmios e o App não credita. Toda vez que quer pedir vida, tem que desconectar e conectar novamente para que os amigos apareçam na opção de solicitação de vida. Já cansei de reclamar e não adianta. O App só quer saber de comprar. Quando o cliente ganha ele dá pane!"
